A1,GAPDH,wt
A2,GAPDH,wt
A3,GAPDH,wt
A4,GAPDH,Dnmt1
A5,GAPDH,Dnmt1
A6,GAPDH,Dnmt1
A7,GAPDH,Uhrf1
A8,GAPDH,Uhrf1
A9,GAPDH,Uhrf1
A10,GAPDH,Setdb1
A11,GAPDH,Setdb1
A12,GAPDH,Setdb1
A13,GAPDH,Daxx
A14,GAPDH,Daxx
A15,GAPDH,Daxx
A16,GAPDH,Morc3
A17,GAPDH,Morc3
A18,GAPDH,Morc3
A19,GAPDH,Atrx
A20,GAPDH,Atrx
A21,GAPDH,Atrx
A22,GAPDH,water
A23,GAPDH,water
A24,GAPDH,water
B1,IAPEz,wt
B2,IAPEz,wt
B3,IAPEz,wt
B4,IAPEz,Dnmt1
B5,IAPEz,Dnmt1
B6,IAPEz,Dnmt1
B7,IAPEz,Uhrf1
B8,IAPEz,Uhrf1
B9,IAPEz,Uhrf1
B10,IAPEz,Setdb1
B11,IAPEz,Setdb1
B12,IAPEz,Setdb1
B13,IAPEz,Daxx
B14,IAPEz,Daxx
B15,IAPEz,Daxx
B16,IAPEz,Morc3
B17,IAPEz,Morc3
B18,IAPEz,Morc3
B19,IAPEz,Atrx
B20,IAPEz,Atrx
B21,IAPEz,Atrx
B22,IAPEz,water
B23,IAPEz,water
B24,IAPEz,water
